station,passenger,disabled
서울역,32419988,917756
시청,24310737,452799
종각,18923763,423079
종로3가,28568092,1240996
종로5가,13260404,630612
동대문,18988260,839817
신설동,10453631,459971
제기동,10833378,622577
청량리,12714656,721603
동묘앞,11413237,724755
을지로입구,21908933,352005
을지로3가,18004580,379597
을지로4가,10773823,326071
동대문역사문화공원,18278816,400462
신당,13634067,409085
상왕십리,8370337,236517
왕십리,11928819,286032
한양대,4461969,52555
뚝섬,13272250,235822
성수,21351983,561335
건대입구,29842908,531708
구의,13991857,357347
강변,18695192,330927
잠실나루,8183838,210629
잠실,50265938,821198
잠실새내,12593737,232150
종합운동장,4795649,103822
삼성,29121763,362891
선릉,29201614,558443
역삼,29049281,508243
강남,48448396,576615
교대,26901942,481294
서초,12128491,189586
방배,10092607,178093
사당,36980749,661002
낙성대,16448825,322752
서울대입구,28727824,546755
봉천,14052619,489381
신림,38099353,807055
신대방,16023369,430762
구로디지털단지,35191934,644853
대림,20384369,513853
신도림,29402068,665999
문래,12442418,247318
영등포구청,15895858,470976
당산,11957862,222071
합정,27265640,375737
홍대입구,33883486,382571
신촌,20073198,411205
이대,7798610,160060
아현,6172034,195996
충정로,8651157,233948
용답,1763849,56321
신답,1045868,30321
도림천,850147,25613
양천구청,4208932,138352
신정네거리,6325178,224555
용두,1484643,71581
지축,2502736,69501
구파발,12323569,338652
연신내,22378889,745502
불광,13281705,489929
녹번,8664781,220218
홍제,10326570,351504
무악재,2420858,71037
독립문,4455095,180586
경복궁,11690305,209666
안국,11802446,208702
동대입구,4834262,93871
약수,9897082,287830
금호,4830758,118694
옥수,5798126,125331
압구정,19513212,276748
신사,18661962,209012
잠원,2887543,53655
고속터미널,35399688,621260
남부터미널,17617747,314188
양재,23014700,390827
매봉,6999623,129591
도곡,3210586,52464
대치,6618893,100301
학여울,1285273,31389
대청,5643696,178604
일원,5668353,161423
수서,10526444,408414
가락시장,10186706,312267
경찰병원,4341719,114788
오금,5719333,134507
당고개,7738938,304273
상계,11330280,428858
노원,24765267,774102
창동,16199587,564028
쌍문,17230736,475991
수유,20806994,702059
미아,9012412,374701
미아사거리,16798492,594952
길음,11910380,310638
성신여대입구,12096220,257907
한성대입구,8205817,192899
혜화,19195621,494538
충무로,15001492,399057
명동,10895071,208631
회현,14199624,383769
숙대입구,7577561,191134
삼각지,6519398,134733
신용산,9493795,197456
이촌,4747126,90545
동작,1821315,45186
이수,21482046,516939
남태령,720176,19500
방화,4065308,183177
개화산,3256418,153660
김포공항,4803695,135249
송정,4014546,153959
마곡,5839486,158311
발산,11839093,354400
우장산,8509597,226651
화곡,16575961,479500
까치산,17387605,521261
신정,7543540,218625
목동,10454965,246743
오목교,13780680,269200
양평,4304277,106834
영등포시장,5930820,187305
신길,2521338,47799
여의도,15776317,209035
여의나루,7176561,102287
마포,8265877,166545
공덕,18683524,352572
애오개,3969710,113375
서대문,10467781,217709
광화문,17185707,273214
청구(5),2298426,68805
신금호,3861316,120365
행당,4682636,136898
마장,3300632,119632
답십리,9484647,260080
장한평,11014437,306206
군자,15313853,401002
아차산,9106520,301863
광나루,7666397,155185
천호,21245651,603914
강동,11037709,299649
길동,4994012,202106
굽은다리,5697433,197678
명일,5274816,176666
고덕,5579340,164937
상일동,9114081,237508
둔촌동,5232499,160597
올림픽공원,2488081,68164
방이,4310241,100318
개롱,3992704,134039
거여,5041135,191001
마천,3932607,174662
강일,1643939,63192
미사,9150015,193029
하남풍산,2608917,62532
하남시청,2718210,105013
하남검단산,2607113,76901
응암,10716724,360431
역촌,2520448,98267
독바위,1794605,58897
구산,4062140,149006
새절,7542429,264929
증산,6137022,233178
디지털미디어시티,8332100,186172
월드컵경기장,3172776,136823
마포구청,8162750,315990
망원,9241575,246772
상수,5264192,55722
광흥창,5153226,108714
대흥,4868138,121364
효창공원앞,3966595,112426
녹사평,3128162,56392
이태원,6461298,93733
한강진,5466477,61926
버티고개,1262968,27801
청구(6),2336402,69321
창신,1941922,54433
보문,4216904,92382
안암,6016303,121715
고려대,4596821,116804
월곡,6760810,206372
상월곡,3589559,121461
돌곶이,5343915,168323
석계,7568865,240720
태릉입구,8550628,250348
화랑대,6080975,146267
봉화산,5200679,150971
장암,1062017,30099
도봉산,6289441,180682
수락산,8017473,279737
마들,7509274,255536
중계,8207860,396497
하계,10345647,377825
공릉,7214735,243619
먹골,6165149,215895
중화,6656623,245769
상봉,10179779,255492
면목,9460452,327264
사가정,10081896,326948
용마산,3733938,151866
중곡,5972698,253009
어린이대공원,7561998,154492
뚝섬유원지,5459322,126408
청담,11747056,163366
강남구청,9927360,135424
학동,13864495,173768
논현,12193284,160481
반포,3465827,62545
내방,8482292,146238
남성,6495671,173964
숭실대입구,7366852,150451
상도,6229117,152006
장승배기,5750104,198537
신대방삼거리,9687586,267729
보라매,5822811,140258
신풍,7131049,202341
남구로,9679059,240145
가산디지털단지,25635857,448955
철산,13035437,323167
광명사거리,13726329,466354
천왕,6621223,189920
온수,6028689,151761
까치울,4647245,112505
부천종합운동장,2770360,82458
춘의,5664687,176295
신중동,8585341,209115
부천시청,7745138,230417
상동,8053865,192229
삼산체육관,3030930,107600
굴포천,5615142,145217
부평구청,5194598,118665
암사,10776616,315498
강동구청,6289619,171238
몽촌토성,3708694,87197
석촌,5086324,136740
송파,4616916,119484
문정,12489569,195470
장지,10229488,264734
복정,6135888,156678
산성,3774624,104310
남한산성입구,7917634,271864
단대오거리,6303999,259746
신흥,2891664,149704
수진,3089642,150157
모란,2591695,148184
